,date,state,cases_new
596,2020-02-03,Negeri Sembilan,0
597,2020-02-03,Pahang,0
598,2020-02-03,Perak,0
599,2020-02-03,Perlis,0
600,2020-02-03,Pulau Pinang,0
601,2020-02-03,Sabah,0
602,2020-02-03,Sarawak,0
603,2020-02-03,Selangor,0
604,2020-02-03,Terengganu,0
605,2020-02-03,W.P. Kuala Lumpur,0
606,2020-02-03,W.P. Labuan,0
607,2020-02-03,W.P. Putrajaya,0
608,2020-03-03,Johor,0
609,2020-03-03,Kedah,0
610,2020-03-03,Kelantan,0
611,2020-03-03,Melaka,0
612,2020-03-03,Negeri Sembilan,0
613,2020-03-03,Pahang,0
614,2020-03-03,Perak,0
615,2020-03-03,Perlis,0
616,2020-03-03,Pulau Pinang,0
617,2020-03-03,Sabah,0
618,2020-03-03,Sarawak,0
619,2020-03-03,Selangor,6
620,2020-03-03,Terengganu,0
621,2020-03-03,W.P. Kuala Lumpur,0
622,2020-03-03,W.P. Labuan,0
623,2020-03-03,W.P. Putrajaya,1
624,2020-04-03,Johor,1
625,2020-04-03,Kedah,0
626,2020-04-03,Kelantan,0
627,2020-04-03,Melaka,0
628,2020-04-03,Negeri Sembilan,2
629,2020-04-03,Pahang,0
630,2020-04-03,Perak,0
631,2020-04-03,Perlis,0
632,2020-04-03,Pulau Pinang,0
633,2020-04-03,Sabah,0
634,2020-04-03,Sarawak,0
635,2020-04-03,Selangor,7
636,2020-04-03,Terengganu,0
637,2020-04-03,W.P. Kuala Lumpur,3
638,2020-04-03,W.P. Labuan,0
639,2020-04-03,W.P. Putrajaya,1
640,2020-05-03,Johor,0
641,2020-05-03,Kedah,0
642,2020-05-03,Kelantan,0
643,2020-05-03,Melaka,0
644,2020-05-03,Negeri Sembilan,0
645,2020-05-03,Pahang,0
646,2020-05-03,Perak,0
647,2020-05-03,Perlis,0
648,2020-05-03,Pulau Pinang,0
649,2020-05-03,Sabah,0
650,2020-05-03,Sarawak,0
651,2020-05-03,Selangor,4
652,2020-05-03,Terengganu,0
653,2020-05-03,W.P. Kuala Lumpur,1
654,2020-05-03,W.P. Labuan,0
655,2020-05-03,W.P. Putrajaya,0
656,2020-06-03,Johor,1
657,2020-06-03,Kedah,0
658,2020-06-03,Kelantan,0
659,2020-06-03,Melaka,0
660,2020-06-03,Negeri Sembilan,0
661,2020-06-03,Pahang,0
662,2020-06-03,Perak,0
663,2020-06-03,Perlis,0
664,2020-06-03,Pulau Pinang,1
665,2020-06-03,Sabah,0
666,2020-06-03,Sarawak,0
667,2020-06-03,Selangor,21
668,2020-06-03,Terengganu,0
669,2020-06-03,W.P. Kuala Lumpur,5
670,2020-06-03,W.P. Labuan,0
671,2020-06-03,W.P. Putrajaya,0
