,date,cases_new,cases_pvax,cases_fvax,cases_vax,month,year,monthly
400,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
401,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
402,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
403,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
404,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
405,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
406,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
407,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
408,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
409,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
410,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
411,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
412,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
413,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
414,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
415,2020-02-19,0,0.0,0.0,0.0,2,2020,2020-02
416,2020-02-20,0,0.0,0.0,0.0,2,2020,2020-02
417,2020-02-20,0,0.0,0.0,0.0,2,2020,2020-02
